Date,Open,High,Low,Close,Volume,rsi_14,roc_10,macd_diff,atr_14,bb_width,daily_return,hl_spread,return_lag1,return_lag2,return_lag3,return_lag5,day_of_week,dax_return,ftse_return,nikkei_return,vix_close,vix_change,target
2021-05-14,385.9310346899563,389.9284800362055,385.9030163453545,389.07855224609375,82201600,54.55446563012435,-0.1725422864061014,-1.110584869999542,4.520319889832764,3.458466019511709,0.015355131465973892,0.010346146472511962,0.012012517616397878,-0.021244964814442047,-0.008925058901010696,0.007278137502890747,4,0.003264636541923105,-0.005896167146297038,-0.024851221505010734,18.809999465942383,-0.18677042159827906,0
2021-05-17,387.9671376698497,388.90112049078533,386.0711251805724,388.0885314941406,65129200,53.13180116012157,-0.6408515977184615,-0.9270088301748047,4.412256116667664,3.4561835971961106,-0.002544526667527358,0.007292138469842101,0.015355131465973892,0.012012517616397878,-0.021244964814442047,-0.009902406400554842,0,0.01427398243898037,0.011531931012749741,0.02318787201457062,19.719999313354492,0.048378515324243754,0
2021-05-18,388.3500945443385,388.59293922934893,384.5861444411635,384.74493408203125,59810200,48.52894507941115,-0.8854281479767057,-0.998051880644089,4.383294593204646,3.4680516052050554,-0.008615553258522035,0.010414158662661212,-0.002544526667527358,0.015355131465973892,0.012012517616397878,-0.008925058901010696,1,-0.0012985664649708406,-0.0015191372542657788,-0.009244989081140464,21.34000015258789,0.08215014683780053,0
2021-05-19,380.05643027394746,383.91375668350884,378.5713720050292,383.7362976074219,106467100,47.200555859807245,-1.1761699965875312,-1.0736745357616695,4.511170842047316,3.625635397816741,-0.002621571813585799,0.013922020699603192,-0.008615553258522035,-0.002544526667527358,0.015355131465973892,-0.021244964814442047,2,-0.0006520937053771103,0.0001848871712673006,0.02091692074995133,22.18000030517578,0.0393627060253805,1
2021-05-20,384.61413970744456,389.1252929926565,384.49274587512184,387.8644104003906,78022200,52.88496791943335,-0.9043911933803302,-0.8179408744863064,4.573872595132125,3.5497499580316054,0.010757681300172406,0.011943728254810783,-0.002621571813585799,-0.008615553258522035,-0.002544526667527358,0.012012517616397878,3,-0.017744067000349917,-0.011941656146775115,-0.012757160845532467,20.670000076293945,-0.06807936014903804,0
2021-05-21,389.34945519441624,390.59166843930177,387.089232490251,387.546875,76578700,52.41749362939954,-1.7009524045428086,-0.6497721037884012,4.497341406126314,3.5478306743431283,-0.0008186762999544683,0.009037451144589355,0.010757681300172406,-0.002621571813585799,-0.008615553258522035,0.015355131465973892,4,0.016984760877691185,0.010014043828829644,0.0019184110492007633,20.149999618530273,-0.02515725475782904,1
2021-05-25,392.5809879674503,392.9359060011208,390.04990249459644,390.62896728515625,57451400,56.05088685270419,0.9729433124721144,-0.08813361205135672,4.41723161718293,3.620207908808485,-0.0022187934235037288,0.007388093941373344,0.010194236836269743,-0.0008186762999544683,0.010757681300172406,-0.008615553258522035,1,0.004375332689588118,0.004773371643870927,0.0016519379043500315,18.84000015258789,0.023913072998898333,1
2021-05-26,391.21742785148024,391.90856610321015,390.1807204738854,391.40423583984375,43088600,57.06043975649305,3.3694207217359473,0.06841608667846888,4.2251326180502025,3.67031697510716,0.001984667343222224,0.004414478615994727,-0.0022187934235037288,0.010194236836269743,-0.0008186762999544683,-0.002621571813585799,2,0.0017865626350186403,-0.0030915384688356973,0.006676315941685607,17.360000610351562,-0.07855623833596592,1
2021-05-27,392.43165081383626,392.9453300641983,391.3295292083679,391.6097412109375,56707700,57.34017918592666,2.196062459667365,0.16347776175655393,4.038751777891645,3.633432928468736,0.000525046364541204,0.004126048680081383,0.001984667343222224,-0.0022187934235037288,0.010194236836269743,0.010757681300172406,3,-0.0009291971357868745,-0.00041251563690569704,0.003089200977479667,16.739999771118164,-0.035714332801561,1
2021-05-28,393.178808495256,393.44032258439506,392.07671544123446,392.3102111816406,58520200,58.33650821782443,0.830592927030025,0.24623153027341727,3.8810253204320673,3.727321535284063,0.00178869393937231,0.0034758390281339206,0.000525046364541204,0.001984667343222224,-0.0022187934235037288,-0.0008186762999544683,4,-0.002847068524379104,-0.0010245922286225007,-0.0032532320077169885,16.760000228881836,0.0011947704920629576,0
